OBJECTID,LOCALID,NAME,GEOTYPE,FULLFIPS,LEGALAREA,EFFECTDATE,ENDDATE,SRCREF,ACRES,SQMILES,OLDNAME,NPU,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID
7,,Peachtree Heights East,Neighborhood,,,,,,133.22,0.21,Peachtree Heights East,B,,,GIS,2018-05-15T13:24:10.000Z,{7040B465-59F1-4D32-BB1A-6340CCAB5471}
8,,Mt. Gilead Woods,Neighborhood,,,,,,35.59,0.06,Mt. Gilead Woods,P,,,GIS,2018-05-15T13:24:10.000Z,{0B7F1854-18A6-42CD-BDA4-CF6119EFD4D5}
9,,Meadowbrook Forest,Neighborhood,,,,,,70.85,0.11,Meadowbrook Forest,P,,,GIS,2018-05-15T13:24:10.000Z,{6FE32BA0-9C9E-496F-BF73-9DBB21427BAB}
10,,Niskey Cove,Neighborhood,,,,,,52.5,0.08,Niskey Cove,P,,,GIS,2018-05-15T13:24:10.000Z,{C72B1769-93B6-42BA-AB9C-C7EEC486B46C}
11,,Oakcliff,Neighborhood,,,,,,66.96,0.1,Oakcliff,H,,,GIS,2018-05-15T13:24:10.000Z,{B4963201-5EE9-4D7C-A2EE-E8CCDA782740}
12,,Just Us,Neighborhood,,,,,,17.69,0.03,Just Us,T,,,GIS,2018-05-15T13:24:10.000Z,{1C57E7B0-9F92-477D-9DF9-98CE4C268F94}
13,,Bush Mountain,Neighborhood,,,,,,49.8,0.08,Bush Mountain,S,,,GIS,2018-05-15T13:24:10.000Z,{50462634-1A5E-4D72-9509-06DBB9EEA0FA}
14,,Briar Glen,Neighborhood,,,,,,66.55,0.1,Briar Glen,P,,,GIS,2018-05-15T13:24:10.000Z,{114318E1-DE48-43AA-853B-1708CAB5607F}
15,,Fairburn,Neighborhood,,,,,,114.84,0.18,Fairburn Avenue,P,,,GIS,2018-05-15T13:24:10.000Z,{670CCF24-29C4-4455-B6B0-22F130488D42}
16,,Ben Hill Terrace,Neighborhood,,,,,,212.19,0.33,Ben Hill Terrace,P,,,GIS,2018-05-15T13:24:10.000Z,{BB2396B6-8004-4C3F-94BE-E9DAD516A31E}
17,,Brandon,Neighborhood,,,,,,409.85,0.64,Brandon,C,,,GIS,2018-05-15T13:24:10.000Z,{F29E1386-9FEC-4907-AFAC-FBD45A723D0A}
18,,Poncey-Highland,Neighborhood,,,,,,240.47,0.38,Poncey Highlands,N,,,GIS,2018-05-15T13:24:10.000Z,{5AC2DA63-B808-49C1-B1C4-A3FA3B4F8FD1}
19,,Inman Park,Neighborhood,,,,,,383.68,0.6,Inman Park,N,,,GIS,2018-05-15T13:24:10.000Z,{7D64192F-7CB0-46B0-A783-33E7A509782B}
20,,Candler Park,Neighborhood,,,,,,416.41,0.65,Candler Park,N,,,GIS,2018-05-15T13:24:10.000Z,{0F7FA6A0-1C62-4660-893F-D1402B7A93BA}
21,,Edgewood,Neighborhood,,,,,,553.98,0.87,Edgewood,O,,,GIS,2018-05-15T13:24:10.000Z,{7699367F-7B51-457F-B02E-0A3B965455A8}
22,,Custer/McDonough/Guice,Neighborhood,,,,,,288.25,0.45,Custer Ave/McDonough/Guic,W,,,GIS,2018-05-15T13:24:10.000Z,{9B394F40-A690-4CA6-9E3A-E76A6AC13200}
23,,Thomasville Heights,Neighborhood,,,,,,406.59,0.64,Thomasville Heights,Z,,,GIS,2018-05-15T13:24:10.000Z,{370A8E25-DA75-4510-9DDD-723AE0FB38FF}
24,,Norwood Manor,Neighborhood,,,,,,332.38,0.52,Norwood Manor,Z,,,GIS,2018-05-15T13:24:10.000Z,{7701FFA4-5F38-4CD1-8BB9-F3A3BCE2F5C7}
25,,South River Gardens,Neighborhood,,,,,,1804.02,2.82,George High,Z,,,GIS,2018-05-15T13:24:10.000Z,{AD4831EB-8665-4D27-955F-A3FF96C3EAE1}
26,,Blair Villa/Poole Creek,Neighborhood,,,,,,847.81,1.32,Blair Villa/Poole Creek,Z,,,GIS,2018-05-15T13:24:10.000Z,{4D27BC55-9703-4B6B-8967-620BC1B98D1E}
27,,Rosedale Heights,Neighborhood,,,,,,200.03,0.31,Rosedale Heights,Z,,,GIS,2018-05-15T13:24:10.000Z,{F3A0E4E2-8CF8-4F65-AF59-12B8DA058AC2}
28,,Lakewood,Neighborhood,,,,,,343.51,0.54,Lakewood,Z,,,GIS,2018-05-15T13:24:10.000Z,{A9DE02BA-02F3-4652-82CB-231BCC032ADC}
29,,Ridgedale Park,Neighborhood,,,,,,116.44,0.18,Ridgedale Park,B,,,GIS,2018-05-15T13:24:10.000Z,{E4A162B2-1684-4E41-8FF4-5D7D9E83BEBA}
30,,Lindbergh/Morosgo,Neighborhood,,,,,,383.43,0.6,Lindbergh Morosgo,B,,,GIS,2018-05-15T13:24:10.000Z,{4F56681D-BF57-4FD0-8FC6-3D16E55A95CB}
31,,South Tuxedo Park,Neighborhood,,,,,,243.99,0.38,South Tuxedo Park,B,,,GIS,2018-05-15T13:24:10.000Z,{6BF972DB-C327-4501-B2E6-4CEA33F41344}
32,,Buckhead Village,Neighborhood,,,,,,127.21,0.2,Buckhead Village,B,,,GIS,2018-05-15T13:24:10.000Z,{ED28CC83-BB5C-4EC2-8DA5-F47473E1FAB0}
33,,Lindridge/Martin Manor,Neighborhood,,,,,,451.7,0.71,Lindridge-Martin Manor,F,,,GIS,2018-05-15T13:24:10.000Z,{90BE0814-C29E-4291-A2CC-92C43CD2C1E4}
34,,Atkins Park,Neighborhood,,,,,,34.72,0.05,Atkins Park,F,,,GIS,2018-05-15T13:24:10.000Z,{DBB8794B-36D0-4BBD-B1C4-B9A987C608EE}
35,,Piedmont Heights,Neighborhood,,,,,,310.55,0.49,Piedmont Heights,F,,,GIS,2018-05-15T13:24:10.000Z,{DA81D2A5-7C53-49BE-B87A-9FD679C4AB5E}
36,,Whitewater Creek,Neighborhood,,,,,,241.28,0.38,Whitewater Creek,A,,,GIS,2018-05-15T13:24:10.000Z,{0BF9036B-0713-4060-8F9A-75FD0EBA961A}
37,,West Paces Ferry/Northside,Neighborhood,,,,,,427.99,0.67,West Paces Ferry/Northsid,A,,,GIS,2018-05-15T13:24:10.000Z,{ABA61E88-73AD-4CAF-9217-5A66DC5A96EE}
